language,category,headline,prompting_technique,model,article_file,article_text
telugu,eenadu_national,కాన్‌బెర్రాలో కార్చిచ్చు,few-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/telugu_mistralai_Mistral_7B_Instruct_v0_2_few-shot_eenadu_national_06452.txt,"Headline: ""కాన్‌బెర్రాలో కార్చిచ్చు""

Article: ""స్వీయ అభిప్రాయాలు దెప్పడించే దేహ సమయంలో, ఒక మీడీయాల్‌ మీడీయా సీఎం అసోసియేషన్‌ ఎన్‌బీఏల్‌ డేయర్‌ పోట్‌ అందులో దేహమేళ ప్రస్తుతం అమరికి చెపుటున్న మీడీయాల్‌ కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయాలని సూచించిన స్వీయ అభిప్రాయాలు దేహ సమయంలో కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ కార్చిచ్చు చేసిన సమాఖ్యము. ఈ సమయంలో కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయిన మీడీయాల్‌ దేహ సమయంలో ఎప్పుడైనా ప్రతిధ్వంస్కరణములో ఉంటే అనే మీడీయాల్‌ కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయాలని సూచించిన స్వీయ అభిప్రాయాలు దేహ సమయంలో కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయిన మీడీయాల్‌ పొదుటు చేయాలని సూచించిన స్వీయ అభిప్రాయాలు దేహ సమయంలో కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయించే మీడీయాల్‌ పొదుటు వైద్యం చేసిన స్వీయ అభిప్రాయాలు దేహ సమయంలో కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయించే మీడీయాల్‌ తెలపేట్‌ చేయడానికి స్వీయ అభిప్రాయాలు దేహ సమయంలో కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయించిన మీడీయాల్‌ పొదుటు చేయడానికి అమరికి చెపుటున్న మీడీయాల్‌ అనుమతి అవసరంలేది. ఇమ్మేయర్ద్ దినేట మీడీయాల్‌ కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయుటున్న మీడీయాల్‌ పొదుటు చేయడానికి ప్రమేయ అమరికి చెపుటున్న మీడీయాల్‌ అనుమతి అవసరంలేది. ఇమ్మేయర్ద్ దినేట మీడీయాల్‌ కాన్‌బెర్ర్‌ డేయర్‌ పోట్‌ చేయుటున్న మీడీయాల్‌ తెలపేట్‌ ����������"
hindi,खेल,संजय सिंह: कौन हैं बृजभूषण के करीबी कहे जाने वाले कुश्ती महासंघ के नए अध्यक्ष,zero-shot,gpt-4o,articles_today/hindi_gpt_4o_zero-shot_ख_ल_06453.txt,"**संजय सिंह: कौन हैं बृजभूषण के करीबी कहे जाने वाले कुश्ती महासंघ के नए अध्यक्ष**

नई दिल्ली: भारतीय कुश्ती महासंघ के नए अध्यक्ष के रूप में संजय सिंह की नियुक्ति ने खेल जगत में एक नई चर्चा को जन्म दिया है। संजय सिंह, जिन्हें बृजभूषण शरण सिंह का करीबी माना जाता है, ने इस महत्वपूर्ण पद को संभाल लिया है और उनके कार्यकाल को लेकर कई सवाल उठ रहे हैं।

संजय सिंह का नाम पहले से ही कुश्ती के क्षेत्र में जाना जाता है। वे राष्ट्रीय और अंतरराष्ट्रीय प्रतियोगिताओं में कुश्ती संगठनों के साथ जुड़े रहे हैं और उन्हें खेल की गहरी समझ है। उनका करीबी रिश्ता बृजभूषण शरण सिंह के साथ उन्हें इस पद के लिए एक स्वाभाविक उम्मीदवार बनाता है।

संजय सिंह की नियुक्ति ऐसे समय में हुई है जब भारतीय कुश्ती महासंघ कई विवादों से घिरा हुआ है। पिछले कुछ महीनों में महासंघ की कार्य प्रणाली और खिलाड़ियों के साथ उसके व्यवहार को लेकर आलोचनाएं हुई हैं। ऐसे में संजय सिंह के सामने संगठन की छवि को सुधारने की बड़ी चुनौती है।

संजय सिंह ने महासंघ के अध्यक्ष के रूप में अपने पहले बयान में खिलाड़ियों के हितों की रक्षा करने और संगठन में पारदर्शिता लाने का वादा किया है। उन्होंने कहा, ""मैं खिलाड़ियों के विकास के लिए हर संभव प्रयास करूंगा और सुनिश्चित करूंगा कि महासंघ की नीतियां पूरी तरह से पारदर्शी हों।""

उनकी नियुक्ति को लेकर खेल विशेषज्ञों की मिश्रित प्रतिक्रियाएं हैं। कुछ का मानना है कि उनका अनुभव और बृजभूषण शरण सिंह के साथ उनकी नजदीकी संगठन को स्थिरता और नया दृष्टिकोण दे सकती है। वहीं, कुछ लोग इस बात को लेकर चिंतित हैं कि उनकी अध्यक्षता में महासंघ में पक्षपात बढ़ सकता है।

आने वाले समय में यह देखना दिलचस्प होगा कि संजय सिंह अपने कार्यकाल में भारतीय कुश्ती महासंघ को किस दिशा में ले जाते हैं और वे खेल और खिलाड़ियों की बेहतरी के लिए कौन से कदम उठाते हैं।"
tamil,குற்றம்,கும்மிடிப்பூண்டி அருகே டாஸ்மாக் கடையில் தொடர் கொள்ளை : 2 தனிப்படை விசாரணை,zero-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_க_ற_றம_06454.txt,"இந்த தொடர் கொள்ளையும் உள்ளது ஒரு விருப்பம் என்பதை அறிய முடியும்.

ஒரு தினம் அம்சம் கும்மிடிப்பூண்டி அருகே டாஸ்மாக் அருக்கத் தொடர் கொள்ளை அறிவிப்பவர்கள் அறிவிக்கிறார்கள். இந்த உதவி எழுந்தில், அருக்கும் ஒரு 2 தனிப்படை விசாரணை உங்களப் பின்னர் உட்கார்ந்த வர்க்கள் முடியும் கூறப்படுகிறது.

இந்த டாஸ்மாக் அருக்கும் அடிப்படை அமைப்பாளர்கள் தொடர் கொள்ளப்பட்டுள்ளது. இந்த உதவி எழுந்தில், அருக்கும் ஒரு எழுத்து அடிப்படை அமைப்பாளர் அனுபவிக்கப்பட்டுள்ளது. இந்த விசாரணைக்கு அருக்கும் ஒரு அமைப்பாளர் அனுபவிக்கும் அருக்கும் ஒரு அமைப்பாளர் உட்கார்ந்த வர்க்கள் முடியும் கூறப்படுகிறது.

இந்த விசாரணைக்கு அருக்கும் ஒரு எழுத்து அமைப்பு அமைப்பாளர்கள் அடிப்படை அமைப்பாளர்க்கு எழுத்து அமைப்பு அமைப்பாளர்க்கு எழுத்து ஆதரிப்பு செய்யும் பார்த்திருக்கிறார்கள். இந்த உதவியை எழுந்தில், அருக்கும் ஒரு ஆடையை அமைப்பு அமைப்பாளர்க்கு அடிப்படை அமைப்பாளர்க்கு அடிப்படை அமைப்பு அமைப்பாளர்க்கு எழுத்து ஆதரிப்பு செய்யும் பார்த்திருக்கிறது.

இந்த விசாரணைக்கு அருக்கும் ஒரு எழுத்து அமைப்பு அமைப்பாளர்க்கு அடிப்படை அமைப்பாளர்க்கு எழுத்து ஆதரிப்பு செய்யும் பார்த்திருக்கிறது. இந்த விசாரணையில் அருக்கும் ஒரு எழுத்து அமைப்பு அமைப்பாளர்க்கு அடிப்படை அமைப்பாளர்க்கு எழுத்து ஆதரிப்பு எழுதும் பார்த்திருக்கிறது. இந்த விசாரணை எழுந்தில், அருக்கும் ஒரு எழுத்து அமைப்பு அமைப்பாளர்க்கு அடிப்படை அமைப்பாளர்க்கு எழுத்து ஆதரிப்பு செய்யும் பார்த்திருக்கிறது.

இன்னும், இந்த விசாரணை எழுந்தில், அருக்கும் ஒரு எழுத்து அமைப்பு அமைப்பாளர்க்கு அடிப்படை அமைப்பாளர் அனுபவிக்கும் அருக்கும் ஒரு எழுத்து அமைப்பு அமைப்பாளர்க்கு அடிப்படை அமைப்பாளர்க்கு எழுத்து ஆதரிப்பு எழுதும் பார்த்திருக்கிறது. இந்த விசாரணையில் அருக்கும் ஒரு எழுத்து அமைப்பு அமைப்பாளர்க்கு அடிப்படை அமைப்பாளர்க்கு எழுத்து ஆதரிப்பு எழுதும் பார்த்திருக்கிறது. இந்த விசாரணை எழுந்தில், அருக்கும் ஒரு எழுத"
telugu,eenadu_sports,క్రీడల హబ్‌గా తెలంగాణ,zero-shot,gpt-4o,articles_today/telugu_gpt_4o_zero-shot_eenadu_sports_06455.txt,"తెలంగాణ: క్రీడల హబ్‌ గా మారుతున్న రాష్ట్రం

తెలంగాణ రాష్ట్రం క్రీడా రంగంలో దూసుకుపోతూ, దేశవ్యాప్తంగా ప్రముఖ క్రీడల హబ్‌గా మారుతోంది. ఇటీవలే ముగిసిన జాతీయ క్రీడా సమారోహంలో తెలంగాణ క్రీడాకారులు ప్రతిభను ప్రదర్శించి పలు పతకాలను కైవసం చేసుకున్నారు. ఈ విజయాలు రాష్ట్ర క్రీడా విధానాలకు, క్రీడాకారులకు అందిస్తున్న మద్దతుకు నిదర్శనంగా నిలిచాయి.

తెలంగాణ ప్రభుత్వమే కాకుండా, ప్రైవేట్ సంస్థలు కూడా క్రీడాకారులకు అవసరమైన సదుపాయాలను అందజేస్తున్నాయి. ముఖ్యంగా హైదరాబాద్ నగరంలో క్రీడా అకాడెమీలు, స్టేడియాలు, ఇతర క్రీడా మౌలిక సదుపాయాలు అభివృద్ధి చెందుతున్నాయి. ఇది యువ క్రీడాకారులను ప్రోత్సహించడంలో కీలక పాత్ర పోషిస్తోంది.

తెలంగాణ ప్రభుత్వం కూడా క్రీడల అభివృద్ధికి ప్రత్యేక దృష్టి సారిస్తోంది. క్రీడాకారులకు నైపుణ్య శిక్షణ, బోధన మరియు ఇతర అవసరాలను తీర్చేందుకు ప్రణాళికాబద్ధంగా కృషి చేస్తోంది. క్రీడల ప్రోత్సాహానికి రాష్ట్ర ప్రభుత్వం ప్రత్యేక నిధులను కేటాయించి, క్రీడా సౌకర్యాల అభివృద్ధికి కేంద్రాన్ని ఆకర్షిస్తోంది.

ఈ విధంగా, తెలంగాణ క్రీడల హబ్‌గా ఎదిగేందుకు అన్ని విధాలుగా ఆవకాశాలను సద్వినియోగం చేసుకుంటోంది. రాష్ట్రం క్రీడా రంగంలో మరింత ముందుకు సాగుతూ, అంతర్జాతీయ స్థాయిలో ప్రతిభావంతులైన క్రీడాకారులను తయారు చేస్తుంది."
tamil,குற்றம்,ஆவடி அருகே கருணாகரச்சேரி பயிற்சி மையத்தில் கொள்ளை: 4 பேர் கைது,few-shot,gpt-4o,articles_today/tamil_gpt_4o_few-shot_க_ற_றம_06456.txt,"ஆவடி: ஆவடி அருகே உள்ள கருணாகரச்சேரி பயிற்சி மையத்தில் நேற்று இரவு கொள்ளை சம்பவம் இடம்பெற்றது.  இந்த சம்பவத்தில் 4 பேர் கைது செய்யப்பட்டுள்ளனர். 

கருணாகரச்சேரி பகுதியில் உள்ள ஒரு தனியார் பயிற்சி மையம், மாணவர்களுக்கு இரவு நேரங்களில் கல்வி பயிற்சி வழங்குகிறது. நேற்று இரவு, பயிற்சி மையத்தின் பாதுகாப்பு அலுவலர் அங்கு காப்பகமாக இருந்தபோது, மூடப்பட்ட கதவை உடைக்க முயற்சித்த கும்பல் அங்கு நுழைந்தது.

அப்போது, பயிற்சி மையத்தில் இருந்த கணினிகள், லேப்டாப்கள் மற்றும் பல சாதனங்கள் கொள்ளையடிக்கப்பட்டன. சம்பவம் தொடர்பாக தகவல் கிடைத்ததும், போலீசார் விரைந்து சென்று விசாரணை மேற்கொண்டனர். 

விசாரணையின் பேரில் கொள்ளையில் ஈடுபட்ட 4 பேரை போலீசார் கைது செய்துள்ளனர். அவர்களிடமிருந்து கொள்ளையடிக்கப்பட்ட பொருட்களின் ஒரு பகுதி மீட்கப்பட்டுள்ளது. 

இந்த சம்பவம் குறித்து மேலும் விசாரணை நடைபெற்று வருகிறது."
hindi,भारत,"वीडियो, द लेंस: यूपी, बिहार, पश्चिम बंगाल और महाराष्ट्र में किसका पलड़ा भारी? , अवधि 47,21",zero-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_भ_रत_06457.txt,"शामिल है - वीडियो, द लेंस: यूपी, बिहार, पश्चिम बंगाल और महाराष्ट्र में किसका पलड़ा भारी? , अवधि 47,21

अम्पिर: यह दिन बड़े संख्यांवली विरुद्ध टेस्टिंग के लिए कोरॉना पोसिटिव रेपोर्ट्स लाई पाए थे। यह 47,21 नये कोरोना पोसिटिव टेस्ट हैं, जो यूपी, बिहार, पश्चिम बंगाल और महाराष्ट्र से हुए हैं।

यूपी से 11,457 नये कोरोना पोसिटिव टेस्ट लाई पाया गया था, जिसके कारण अब यह राज्य कोरोना के सबसे बड़े हो गए हैं। बिहार और पश्चिम बंगाल में 862 और 713 नये कोरोना पोसिटिव टेस्ट हैं देखा गया था। महाराष्ट्र के लिए 16,593 नये कोरोना पोसिटिव टेस्ट लाई पाया गया था, जो राज्य के अवधि कोरोना के सबसे घटनातम राज्य बनाता है।

यदि यह रेपोर्ट्स सही हैं तो यह दिन भारत के सबसे बढ़ी जमाना कोरोना के कार्यकर्ता बना दिया जाega था। सरकार और राज्य सरकारों ने कई फैसले ले लिए हैं कि कोरोना के विरुद्ध गहन काम करने के लिए है। राज्य के महिलाओं और सेनियर के लिए कोरोना विकास कार्यक्रम लागू किया गया था और राज्य द्वारा कई शहरों के लिए कोरोना परिवार समuccaya का समाधान किया गया था।

शामिल है - यह दिन बड़े संख्यांवली विरुद्ध टेस्टिंग के लिए कोरोना पोसिटिव रेपोर्ट्स लाई पाए थे। यह 47,21 नये कोरोना पोसिटिव टेस्ट हैं, जो यूपी, बिहार, पश्चिम बंगाल और महाराष्ट्र से हुए हैं। यदि यह रेपोर्ट्स सही हैं तो यह दिन भारत के सबसे बढ़ी जमाना कोरोना के कार्यकर्ता बना दिया जाएगा था। सरकार और राज्य सरकारों ने कई फैसले ले लिए हैं कि कोरोना के विरुद्ध गहन काम करने के लिए है। राज्य के महिलाओं और सेनियर के लिए कोरोना विकास कार्यक्रम लागू किया गया था और राज्य द्वारा कई शहरों के लिए कोरोना परिवार समuccaya का समाधान किया गया था।"
telugu,eenadu_national,మరో వంద ‘బాలాకోట్‌ బాంబులు’!,chain-of-thought,gpt-4o,articles_today/telugu_gpt_4o_chain-of-thought_eenadu_national_06458.txt,"**మరో వంద ‘బాలాకోట్‌ బాంబులు’**

భారత రక్షణ రంగంలో మరో కీలక పరిణామం చోటుచేసుకుంది. భారత ప్రభుత్వం మరో వంద ‘బాలాకోట్‌ బాంబులు’ తయారీకి నిర్ణయం తీసుకున్నట్లు ప్రకటించింది. ఈ నిర్ణయం, బాలాకోట్‌ దాడుల సందర్భంలో భారత వైమానిక దళం చేసిన సాహసోపేతమైన చర్యను గుర్తు చేస్తుంది.

**భూతపరచయం**: 2019 ఫిబ్రవరి 26న భారత్‌ పాకిస్తాన్‌లోని బాలాకోట్‌ ప్రాంతంలో గల జైష్-ఎ-మహ్మద్‌ ఉగ్ర శిబిరాలపై వైమానిక దాడులు నిర్వహించింది. ఈ దాడులు రెండు దేశాల మధ్య సంబంధాలను మరింత ఉద్రిక్తతకు గురిచేశాయి, కానీ భారత్‌ తన సైనిక శక్తిని ప్రదర్శించిన సందర్భంగా నిలిచింది.

**ప్రస్తుత పరిణామం**: తాజాగా భారత రక్షణ పరిశోధన సంస్థ (డీఆర్డీఓ) మరో వంద బాలాకోట్‌ బాంబుల తయారికి ముందడుగు వేసింది. ఈ బాంబులు అత్యాధునిక సాంకేతిక పరిజ్ఞానం ఆధారంగా రూపొందించబడుతున్నాయి.

**సాంకేతిక వివరాలు**: ఈ బాలాకోట్‌ బాంబులు గత విభాగాల కంటే మరింత సామర్థ్యాన్ని కలిగి ఉంటాయి. సరిగ్గా లక్ష్యాలను చేరుకునే సామర్థ్యం, అధిక ప్రభావం కలిగిన విధానాలతో ఈ బాంబులు రూపొందించబడుతున్నాయి. పాత బాంబులతో పోలిస్తే మెరుగైన మార్పులు, భద్రతా ప్రమాణాలు కూడా అందులో భాగమవుతాయి.

**ยุతయుతమైన ప్రాముఖ్యత**: ఈ బాంబుల తయారీకి వెనుక ఉన్న ప్రధాన కారణం, దేశ రక్షణను మరింత బలోపేతం చేయడం. రక్షణ శాఖ మంత్రి మాట్లాడుతూ, ""దేశం సురక్షితంగా ఉండాలంటే మేము అన్ని చర్యలను తీసుకుంటున్నాం"" అని తెలిపారు.

**ప్రాంతీయ మరియు గ్లోబల్ ప్రతిస్పందనలు**: పాకిస్తాన్ ఈ పరిణామంపై ఆందోళన వ్యక్తం చేయవచ్చు. అంతర్జాతీయ వేదికల్లో కూడా ఈ పరిణామాన్ని ఆసక్తిగా పరిశీలిస్తున్నారు. భారత రక్షణ శక్తి పెరగడం, గ్లోబల్ వేదికల్లో సైతం చర్చనీయాంశం కావచ్చు.

**ఉపసంహారం**: ఈ నిర్ణయం భారత జాతీయ భద్రతకు మరింత బలోపేతానికి దారి తీస్తుంది. భారత రక్షణ వ్యూహాలు భవిష్యత్తులో స్థిరత్వం కోసం మరింత ప్రణాళికలు రూపొందించే అవకాశం ఉంది."
bangla,entertainment,টেকার নয়!,zero-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_entertainment_06459.txt,"টেকার নয়! আমাদের জন্মদিবসে প্রকাশ করেছেন যে, কোভিড-19 ভর্তি হওয়ার কথা ছিল ভুল। ফসলকান্ঠে উঠানো যে, কোভিড-19 এর উত্পত্তি ছিল সেরা লাভ করার জন্য ফরমুলা স্প্রিফ করার উদ্দেশ্য থাকছিল। এই ফরমুলা স্প্রিফ করা হয় কোভিড-19 লেখার তারিখ ১৯০২ ফেব্রুয়ারি থেকে ১৮৮২ ফেব্রুয়ারি থেকে। এই সময়ে প্রকৃতিক একটি উক্ত বিরুদ্ধ করা উঠিল ছিল, যা বিরুদ্ধ করা হয়েছে, কোভিড-19 এর উত্পত্তি ১৯০২ ফেব্রুয়ারি থেকে ১৯৩২ ডিসেম্বর ও ১৯০৩ ফেব্রুয়ারি থেকে।

ফরমুলা স্প্রিফ করার উদ্দেশ্য ছিল কোভিড-19 এর উত্পত্তি ছাড়াও একটি উক্ত ছোরা সফলভাবে ছিল সেরা লাভ করার জন্য ফরমুলা স্প্রিফ করার উদ্দেশ্য থাকছিল। এই ছোরা ১৯০২ ফেব্রুয়ারি থেকে ১৯৩২ ডিসেম্বর ও ১৯০৩ ফেব্রুয়ারি থেকে।

এই সংক্ষেপে বর্ণিত হল, কোভিড-19 এর উত্পত্তি ১৯০২ ফেব্রুয়ারি থেকে ১৯৩২ ডিসেম্বর ও ১৯০৩ ফেব্রুয়ারি থেকে। ফরমুলা স্প্রিফ করার উদ্দেশ্য ছিল কোভিড-19 এর উত্পত্তি ও একটি ছোরা সফলভাবে ছিল সেরা লাভ করার জন্য ফরমুলা স্প্রিফ করার উদ্দেশ্য।

এই সংখ্যা প্রকাশ করা হল, ফরমুলা স্প্রিফ করার উদ্দেশ্য ছিল কোভিড-19 ও একটি ছোরা সফলভাবে ছিল সেরা লাভ করার জন্য। বাড়ি থেকে থাকার পর ফরমুলা স্প্রিফ করা হয়েছে এবং তার ফলে কোভিড-19 এর উত্পত্তি ও একটি ছোরা সফলভাবে ছিল সেরা লাভ করার জন্য।

ফরমুলা থেকে ফেরত আসলে কোভিড-19 এর উত্পত্তি ও একটি ছোরা সফলভাবে ছিল সেরা লাভ করার জন্য। এই পরিবর্তন প্রকাশ করলে কোভিড-19 এর উত্পত্তি ছিল ভুল। এই উদ্ধৃত বিছানা ফাঁটে গেল, কোভিড-19 এর উত্পত্তি ১৯০২ ফেব্রুয়ারি থেকে ১৯৩২ ডিসেম্বর ও ১৯০৩ ফেব্রুয়ারি থেকে। এই উদ্ধৃত বিছানা প্রকাশ করলে কোভিড-19 এর উত্পত্তি ১৯০২ ফেব্রুয়ারি থেকে ১৯৩২ ডিসেম্বর ও ১৯০৩ ফেব্রুয়ারি থেকে থেকে আনন্দ হয়ে পৌছে। এই পরিবর্তন উদ্ধৃত বিছানা থেকে আমরা জানি যে, কোভিড-19 এর উত্পত্তি ১৯০২ ফেব্রুয়ারি থেকে ১৯৩২ ডিসেম্বর ও ��������"
tamil,சினிமா(ரீல்மா),ஹீரோ அறை கதவை நள்ளிரவில் தட்டிய தமன்னா,zero-shot,gpt-4o,articles_today/tamil_gpt_4o_zero-shot_ச_ன_ம_ர_ல_ம_06460.txt,"நடிகை தமன்னா, திரைப்பட உலகில் தனக்கென ஒரு தனிப்பட்ட இடத்தைப் பெற்றுள்ளார். அண்மையில், அவர் நடித்த படத்தின் படப்பிடிப்பில் ஒரு சுவாரஸ்யமான சம்பவம் நடந்தது. 

பிரபல ஹீரோவின் அறையின் கதவை நள்ளிரவில் தமன்னா தட்டிய சம்பவம் அனைவரையும் ஆச்சரியத்தில் ஆழ்த்தியது. இது குறித்து தகவல்கள் தெரிவிக்கையில், படப்பிடிப்பின் போது சில முக்கியமான காட்சி தொடர்பான விவாதங்களை நடத்த தமன்னா அப்படி செய்ததாக கூறப்படுகிறது. 

அந்த நேரத்தில் ஹீரோ ஷூட்டிங்கில் இருந்து ஓய்வெடுத்து தன் அறையில் இருந்தார். தமன்னா திடீரென கதவை தட்டியதால், ஹீரோவும் குழப்பமடைந்தார். ஆனால், பின்னர் விஷயத்தை விளக்கிய தமன்னா, அவருடன் நல்ல தொடர்பை பேணிக்கொண்டார். 

இந்த சம்பவம் பார்த்தவர்களிடையே ஒரு சிறிய கலகலப்பை ஏற்படுத்தியது. ஆனால், இதை தமன்னா சிரித்துக்கொண்டே சமாளித்து விட்டார். 

தமன்னாவின் இந்த செயலால், படக்குழுவினர் மற்றும் அவரது ரசிகர்கள் மத்தியில் சுவாரஸ்யமான உரையாடல்கள் நிகழ்ந்தன. படப்பிடிப்பு மேடையில் நடக்கும் இத்தகைய நிகழ்வுகள், இவ்வளவு எளிதாக மறக்கமுடியாதவை."
hindi,खेल,"वीडियो, संजय सिंह भारतीय कुश्ती संघ के अध्यक्ष चुने गए, साक्षी मलिक ने छोड़ी कुश्ती, अवधि 3,19",zero-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_ख_ल_06461.txt,"शामिल अहम खबर: ""वीडियो, संजय सिंह भारतीय कुश्ती संघ के अध्यक्ष चुने गए, साक्षी मलिक ने छोड़ी कुश्ती, अवधि 3,19""

अमर कहानी, बहुत-बहुत से पहले कुश्ती सेक्टर में बड़ा संकट था जबकि अब एक नया सहayok हुआ है। वीडियो के अनुसार, भारतीय कुश्ती संघ के अध्यक्ष चुने गए हैं संजय सिंह, जो सेक्टर के अध्यक्ष समय से अपना नाम रखा है।

इस संबद्धि के अलावा, रिटिर हुए साक्षी मलिक ने कुश्ती छोड़ी है। मलिक ने 3,19 साल पूरे देखा और अब अपने लिए एक नया स्टेडिओम शुरू किया है।

यह एक बहुत बड़ा संकट है कि कुश्ती सेक्टर में बड़ी बदलाव हो रहे हैं, लेकिन यह एक बहुत बड़ा उद्यम है कि नये प्रवर्तकों देखा जा रहा है। संजय सिंह के साथ सहयोग के साथ, कुश्ती सेक्टर को बढ़ाना होगा और वह अगले कुछ सालों में सफलतापूर्वक रहेगा। यह कुश्ती के माध्यम से देश के अन्य खेल्स को भी बढ़ाना होगा।"
telugu,eenadu_cinema,పిల్లల్ని ఎత్తుకెళ్లిపోతాడు,few-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/telugu_mistralai_Mistral_7B_Instruct_v0_2_few-shot_eenadu_cinema_06462.txt,"Headline: ""పిల్లల్ని ఎత్తుకెళ్లిపోతాడు""

Article: ""పిల్ల దృష్టిపెట్ట చిత్రం 'దర్బార్‌' చేయింది. ఇది మీద మరిచిన చిత్రం మీద నటిస్తున్నారు. రజనీకాంత్‌ దర్శకత్వంలో తెరకెక్కబోతున్న ఆ చిత్రం త్వరలోనే పట్టాలెక్కబోతోంది. అందులో కథానాయికగా కీర్తిసురేష్‌ ఎంపికైనట్టు సమాచారం. ‘దర్బార్‌’లోనే రజనీ - కీర్తి జంట కలిసి నటిస్తుందని తమిళ సినీ వర్గాలు అనుకున్నాయి. కానీ అందులో నయనతారకి అవకాశం దక్�� kicki దు. ఈసారి మాత్రం కీర్తి ఎంపిక ఖాయమేనని తమిళ సినీ వర్గాలు చెబుతున్నాయి. జ్యోతిక కూడా నటించబోతోందని ప్రచారం సాగుతోంది. ఎవరెవరు ఏ పాత్రల్లో నటిస్తారన్నది త్వరలోనే వెల్లడయ్యే అవకాశాలున్నాయి."""
tamil,இந்தியா,7 இந்தியாவின் பெரும் பணக்காரர்கள் பட்டியலில் முகேஷ் அம்பானி தொடர்ந்து முதலிடம்,zero-shot,gpt-4o,articles_today/tamil_gpt_4o_zero-shot_இந_த_ய_06463.txt,"மும்பை: இந்தியாவின் பெரும் பணக்காரர்கள் பட்டியலில் 7வது முறையாக தொடர்ந்து முதலிடத்தைப் பிடித்துள்ளவர் ரிலையன்ஸ் நிறுவனத்தின் தலைவர் முகேஷ் அம்பானி. அவரது செல்வம் இதுவரை இல்லாத அளவுக்கு உயர்ந்துள்ளது என்று தகவல்கள் தெரிவிக்கின்றன.

பிரபல பொருளாதார ஆய்வு நிறுவனமான 'போர்ப்ஸ்' வெளியிட்டுள்ள 2023 ஆம் ஆண்டிற்கான இந்திய செல்வந்தர்களின் பட்டியலில், முகேஷ் அம்பானி மீண்டும் முதலிடத்தில் உள்ளார். ரிலையன்ஸ் இண்டஸ்ட்ரீஸ் நிறுவனம் எண்ணெய், தொலைத்தொடர்பு, மற்றும் பிற தொழில்களில் முக்கிய பங்கு வகித்து வருகின்றது. 

அவரது மொத்த செல்வ மதிப்பு 90 பில்லியன் அமெரிக்க டாலர்களை கடந்ததாகவும், இது இவரது முன்னைய ஆண்டின் செல்வத்தைவிட 15% அதிகரித்துள்ளது என்றும் கூறப்படுகிறது. 

இந்த பட்டியலில் முகேஷ் அம்பானியை தொடர்ந்து அடானி குழுமத்தின் தலைவர் கௌதம் அடானி இரண்டாவது இடத்தில் உள்ளார். 

இந்தச் செய்தி மும்பை பங்குச் சந்தைகளில் பெரும் சலசலப்பை ஏற்படுத்தியுள்ளது. முகேஷ் அம்பானியின் தொடர்ந்த வெற்றி இந்திய தொழில்நுட்ப வளர்ச்சிக்கு ஒரு முக்கிய அடையாளமாகக் கருதப்படுகிறது."
